Medium_only_merged_for_shared_language	mode_pol_complex	sum_area	lg_count_smallest	sum_shoreline	mean_lat	mean_long	settlement_date_grouping_finer	oldest_date	color	lg_count	NPP_terra_mean	NPP_aqua_mean	mean_CCSM_piControl_1760_bio1	mean_CCSM_piControl_1760_bio4	mean_CCSM_piControl_1760_bio12	mean_CCSM_piControl_1760_bio15	ratio_coastline_to_area	mean_lat_abs
Ambae	1	850.549692346	2	211.113632806	-15.3955646085	167.848248315	11	3200	#C2C164	2	32766	32766	26.078086853027344	128.2266387939453	2174.49560546875	43.55974960327149	0.24820846413300432	15.3955646085
Ambrym	1	1379.527967348	6	280.74937569	-16.2526197768	168.115843193	11	3200	#F0F5D6	6	32765	32765	25.7229061126709	145.9342803955078	1998.6414794921875	47.23589324951172	0.20351118812742283	16.2526197768
Aneityum	2	1424.8224026973	1	510.048611892	-20.2174143666	169.72909242766667	11	3200	#D98B7F	1	6554.68326	8192.99252495	24.20252990722656	204.37745666503903	1377.1336669921875	52.028831481933594	0.3579734645710498	20.2174143666
Anuta	1	1.1236877878	1	5.7974043614	-11.5842724575	169.845468431	11	2950	#D8E44F	1	32766	32766	27.11413955688477	65.14551544189453	3006.944580078125	19.323875427246097	5.159266145225611	11.5842724575
Aore	1	555.4030689954	1	407.5332859962	-15.60554944995	167.167309423	11	3200	#E593A4	1	6554.40641996	8192.558524975	25.873334884643555	139.0155487060547	2061.148193359375	47.22614288330078	0.7337613145230484	15.60554944995
Aotearoa	2	232102960.02850765	1	14264725.893379398	-41.516599112092145	171.57282891400524	3	750	#B37097	1	171.72252647122002	225.9383910554945	12.6333302890923	276.1852444655026	1353.4415226209883	11.275318330097491	0.06145861255551139	41.516599112092145
Araki	NA	5.6302468072	1	12.7903522114	-15.6419932445	166.941044039	11	3200	#59A6B6	1	32766	32766	25.89780044555664	139.73570251464844	2030.607421875	48.84967041015625	2.2717214092717226	15.6419932445
Avaiki Nui (south)	2	3623.7791569402	1	4016.9065121360995	-20.240942234970834	-159.25625274746923	4	960	#45F3F6	1	3641.9814221925926	4682.128680919048	24.381141240634616	157.95979107750787	1586.0304141574436	33.162860813594996	1.1084854617707562	20.240942234970834
Belep	NA	1241.696983374	1	1698.1099297236	-19.7608036233375	163.6425423479375	11	3050	#54D6CF	1	6553.96606998	8192.274875	24.336901545524597	208.70988178253177	1257.2012405395508	64.03372097015381	1.36757192170139	19.7608036233375
Chuuk	2	8587.0885098655	1	22274.616630092	7.358816469590698	151.81976548001163	9	2300	#EEC57C	1	1338.0030857020408	1820.9758777694444	27.3640575852505	19.024251161619674	3265.7302388035973	20.837977431541265	2.593966116047509	7.358816469590698
Duff + Reef Islands	1	198.4076173654	1	343.9123674902	-9.929009932325927	166.9212044578148	11	3185	#F0B6B4	2	6554.02900998	8192.2523375	27.332292556762695	45.06790683887623	3360.7772804542824	15.18754517590558	1.7333627209323785	9.929009932325927
East Futuna	2	855.2524194342	1	667.5884115561	-14.29562847575	-178.1099469575	9	2300	#BC9893	1	6554.30989996	8192.466874975	26.66718482971191	87.08333587646484	2533.394287109375	26.359764099121097	0.7805747126652377	14.29562847575
Efate	2	36228.8459432759	4.609756097560975	11066.6560823371	-17.59155889740752	168.33157709805488	11	3200	#3FC0CB	5	4275.077478230435	5462.2179721777775	25.28301553028386	169.33652133476443	1736.5620563786204	52.631394828238136	0.30546532174015	17.59155889740752
Emae	NA	334.2094324227	1	316.8809427933	-17.1054055229	168.40209462299998	4	1000	#BFC1EE	1	6554.4621	8192.738149925	25.39692115783691	163.90481567382812	1804.1861572265625	51.264041900634766	0.9481508062062014	17.1054055229
Epi	NA	4116.5005939542	6	1361.5238660418	-16.714900371833334	168.23502994733335	11	3200	#BD9A5B	6	6554.50525996	8192.7569	25.561933517456055	154.83694458007812	1891.7314453125	49.7042236328125	0.3307478852405452	16.714900371833334
Erromango	2	8050.7307985136995	3	1449.5687533358998	-18.76491172515	169.204737835	11	3200	#BEEFB5	3	6554.65131992	8192.839199925	24.84593391418457	184.9674530029297	1565.615234375	53.40339660644531	0.18005430682187443	18.76491172515
Gaua	NA	2402.116752378	4	581.9316388697	-14.2572103949	167.507267562	11	3200	#6F83E0	4	1.406175	1.3342666666666667	26.46210479736328	109.48480224609376	2368.106689453125	37.799041748046875	0.2422578495793807	14.2572103949
Hawaii	4	1010491.854032406	1	104191.52844774601	21.154258249202897	-157.33585988869567	4	950	#C96F51	1	2521.156420497436	4681.434114271428	23.936608051908188	118.04370968583702	988.1239570949388	19.75984437914862	0.10310971635443252	21.154258249202897
Hiu	1	348.0860972358	1	278.31291532520004	-13.1353197877	166.555650089	11	3200	#5EEFD7	1	0.177025	0.148	26.74402618408203	93.79839324951172	2561.36376953125	32.7253303527832	0.7995519428535685	13.1353197877
Kadavu	3	7918.8077305264005	1	5586.1043985696	-19.010338333553847	178.33682898026922	11	3130	#CBD5EC	1	3642.0949221666665	4682.303971414286	24.772047189565804	174.54567190317007	1665.3103637695312	42.70744529137245	0.7054224055769902	19.010338333553847
Kanaky (New Caledonia main island)	1	10595709.14161179	29	1614001.8489847942	-21.548496976421198	165.635100407904	11	3050	#5DEE73	29	543.9568292718232	718.3976664116789	23.36014037322998	226.46392028808592	1167.6703569335937	56.24894705200195	0.15232598662474012	21.548496976421198
Kapingamarangi	1	4.2097136208	1	49.3481682696	1.0691647252722223	154.7920500706111	4	1000	#9AC8AC	1	32766	32766	27.446208953857425	10.088061332702637	2091.227294921875	24.850982666015625	11.722452573916904	1.0691647252722223
Kosrae	3	1826.83196744	1	999.6938663743999	5.3303290596	163.00780424533332	8	2100	#EACE34	1	3641.244299988889	4681.403628557143	27.368519465128585	12.529414176940918	3525.9243977864585	24.029882431030273	0.5472281436892655	5.3303290596
Laguas yan gåni	1	34387.652041743	1.15	16801.8207076988	15.234901130186929	145.1235199042225	12	3500	#E8DFAD	3	2234.6106795363635	2731.0511999916666	26.763612697465078	81.5277951322283	1802.4183212716239	56.67972246715001	0.4886004047994656	15.234901130186929
Lau	3	84533.8292407083	1	140918.0758230316	-18.03065504749527	-171.68379394130406	11	3130	#B6EA6C	1	643.5596137019608	852.1808272506494	25.252379224107074	152.66943967664565	1827.452890756968	39.41007255863499	1.667002158647875	18.03065504749527
Lifou	2	10374.9945919317	1	2119.9036779999	-20.7970835283	167.12490240900001	11	3050	#BBA5C1	1	6554.78672	8193.006574925	23.85439682006836	215.00830078125	1298.6845703125	55.76469421386719	0.20432817185740812	20.7970835283
Loh-Toga	1	1591.3378107452002	1	1780.5189704915	-13.300245719552	166.6257865329	11	3200	#9BDDCD	1	4681.98741425	5958.556118154545	26.74402618408203	93.79839324951172	2561.36376953125	32.7253303527832	1.118881835439899	13.300245719552
Lomaviti	NA	22545.7232278504	1	19235.9045597642	-18.11326745571155	133.393201722747	11	3130	#87F2ED	1	1725.6005026105263	2260.8076241137933	25.17262833659099	158.1676125744529	1837.5396287134765	42.058640804667284	0.8531952763441347	18.11326745571155
Luangiua	1	40.4343866792	1	215.4824763882	-5.339245056017392	159.48092871993478	2	500	#D6C3B6	1	32766	32766	27.492624448693316	26.07292880182681	3284.5506220278535	20.502884242845617	5.32918869520153	5.339245056017392
Maewo	1	2751.9102265554	3	1243.183739571	-15.126309147557143	168.17571982485714	11	3200	#CE36BE	3	6554.21597998	8192.404124975	26.12545449393136	125.85233524867466	2201.7089494977677	42.182660239083425	0.45175301416976393	15.126309147557143
Mafea	NA	25.1915471776	1	43.574684535	-15.4197639993	167.2287371175	11	3200	#9F9C85	1	32766	32766	26.07430076599121	129.37710571289062	2157.74462890625	44.580589294433594	1.7297343520744948	15.4197639993
Malakula	1	193685.546712762	33	40941.084743496	-16.39865610623125	167.6356258513125	11	3200	#BEE7EE	33	619.1946169603774	820.12817248	25.595173954963684	153.32856559753418	1919.7436637878416	50.035765290260315	0.21137914231779062	16.39865610623125
Mangareva	2	804.8130777624999	1	3122.0180817524997	-23.141204395423078	-134.928802381	4	920	#D5C194	1	4681.686164271428	5958.295663609091	23.268709109379696	175.59753711407	1839.483647273137	13.33449726838332	3.8791840838771834	23.141204395423078
Mapia	NA	0	1	0	0.896674	134.304599	2	500	#7EB47D	1	32766	32766	27.574583053588867	11.396363258361816	2123.16845703125	13.87479019165039	NA	0.896674
Merelava group	NA	21.501160464199998	1	27.136004304	-14.4177579797	168.0523986605	11	3200	#4EC2ED	1	32766	32766	26.4689998626709	108.66564178466795	2384.96875	36.86740493774414	1.262071614654575	14.4177579797
Mo-ava-mo-iki	2	5022.8519289921	1	1604.1475296630001	-11.46928766715	160.022644755	11	3100	#ECC0A7	1	1.1783499375	1.1322666333333333	26.903383255004883	79.81468200683594	2766.85400390625	28.91575813293457	0.3193698624488206	11.46928766715
Mortlock (greater)	NA	939.4835662308	1	3721.9718253647998	6.092571373770424	153.81566994551653	9	2300	#A7F696	1	14042.373519047618	16382.681527777779	27.39956968361118	14.365508552598023	3440.3288033127637	24.573259056610926	3.961721055214748	6.092571373770424
Mota	1	90.54150326829999	1	95.4517895765	-13.8526107522	167.693802862	11	3200	#C94692	1	1.380025	1.3976666	26.622573852539062	100.4352798461914	2473.38623046875	34.66474914550781	1.054232436296639	13.8526107522
Mota Lava	1	262.3323620448	1	290.6159091147	-13.69400204975	167.6489375585	11	3200	#B6C383	1	6554.26537996	8192.481049975	26.622573852539062	100.4352798461914	2473.38623046875	34.66474914550781	1.1078156993267565	13.69400204975
Mwoakilloa	NA	3.6689594456	1	24.0102519488	6.6720876815666665	159.778407323	6	1700	#A98FDB	1	32766	32766	27.367307662963867	17.994234085083008	3402.984375	21.674455642700195	6.544158447320615	6.6720876815666665
Māngarongaro	2	29.819451292	1	223.2828267336	-9.033042457566667	-157.97036915446665	2	550	#6F609C	1	32766	32766	27.22708320617676	23.355909029642746	2572.372762044271	31.93851629892985	7.487824794197423	9.033042457566667
Namonuito	NA	10.5811787592	1	56.339096464	8.76085603264	150.2201840791	9	2300	#F5DDBB	1	32766	32766	27.31109199523926	27.138606452941893	2869.0166015625	22.131735801696777	5.324463157284337	8.76085603264
Nauru	NA	158.71591445849998	1	127.64600773119999	-0.5196901836	166.930007871	8	2150	#84B7EE	1	0.717225	0.7159333333333333	27.30586624145508	15.498370170593262	1421.695556640625	24.185972213745117	0.8042420205100229	0.5196901836
Nendö	NA	23956.8950715668	3	10986.1130599506	-10.753269574477777	165.97188588	11	3185	#91C1BF	3	1366.3455541416668	1725.5235210421054	27.21858851114909	56.62877400716146	3146.3956705729165	17.93902015686035	0.45857833526137737	10.753269574477777
Nengone	3	5977.453760874	1	1349.1855428715	-21.476860671525	167.8714882165	11	3050	#EBF1F1	1	6554.80693996	8193.056424925	23.451640605926514	223.04132461547852	1228.1488647460938	53.33115482330322	0.2257124181708814	21.476860671525
Nguluwan	NA	2.2936474752000002	1	28.7662401698	8.401374545953846	137.48920702769232	9	2400	#F53F90	1	32766	32766	27.389738963200497	21.395051369300255	3078.0142916165864	18.013138110821064	12.541700710695158	8.401374545953846
Niuafoou	NA	367.45608670750005	1	189.2575115494	-15.5972130209	-175.635532195	9	2300	#A0A5E7	1	0.65165	0.6071	26.216264724731445	109.48291015625	2242.294921875	32.896148681640625	0.5150479700722757	15.5972130209
Niuatoputapu	NA	198.565312428	1	288.4560001173	-15.923576424775	-173.73992739425	9	2300	#63ECBA	1	6554.38601994	8192.5781	26.219738006591797	107.40064239501952	2244.43896484375	32.26325607299805	1.452700859934408	15.923576424775
Niue	2	1864.770291181	1	478.22787083400004	-19.052013841	-169.862192027	8	2000	#D83D75	1	1.56367495	1.6396666666666666	24.77157211303711	156.13824462890625	1635.032470703125	37.08647918701172	0.2564540378488805	19.052013841
Nukumanu	NA	9.4361523238	1	94.9789379236	-4.521753275308695	159.41373867821738	2	500	#EAC9EF	1	32766	32766	27.526564390762992	23.84347625400709	3006.409774116848	20.201265335083008	10.065430767161605	4.521753275308695
Nukuoro	1	4.6988437772	1	52.591309124	3.8649320282333335	154.97630608171428	2	500	#F2DED8	1	32766	32766	27.424253463745117	6.950807889302571	3075.9183175223216	29.705277851649697	11.192393622275032	3.8649320282333335
Nukuria	NA	172.917634005	1	1038.4238852235	-3.2471857113000002	154.60997897316668	2	500	#AA76DF	1	9361.47047142857	8191.3328125	27.43462610244751	28.32453966140747	2724.2689208984375	22.71807336807251	6.005309355513583	3.2471857113000002
Ouvea	NA	393.54751107820005	1.1538461538461537	632.6272501771	-20.573024811116923	166.53379278293846	11	3050	#F3A1D8	2	14042.969728571428	16383.40865	23.914919016911433	214.19635432316704	1302.6152005709134	57.496687140831575	1.6074990499721227	20.573024811116923
Paafang	NA	51.342121232100006	1	584.3458342916999	8.61144553409091	151.96010955112726	9	2300	#70283A	1	6553.42664	8191.701525	27.306213344227185	27.25220524181019	2872.9734419389206	23.03150704123757	11.381411992116067	8.61144553409091
Paama	1	439.0859585609	1	326.1108153562	-16.4907205708	168.273040943	11	3200	#E475A7	1	0.8427374625	0.8940333333333333	25.642419815063477	150.38561248779297	1945.1864624023438	48.47005844116211	0.7427038123127988	16.4907205708
Palau	2	16125.365409783999	1	10282.445941276	7.397721877304762	134.52803603295237	11	3100	#9AF0CA	1	1425.1839652130434	1927.9620588235293	27.426529838925315	18.103815442039853	3193.789597284226	20.85574722290039	0.6376566161432329	7.397721877304762
Pentecost	1	4622.554907028	5	1321.0881375960003	-15.673364099925	168.19439396800001	11	3200	#B9C9C8	5	6554.47639996	8192.678399975	25.95595979690552	134.21245193481445	2116.1792907714844	44.38287830352783	0.2857917675758606	15.673364099925
Pingelap	NA	4.3693206448	1	24.4355578722	6.2215224165	160.68989170733335	6	1700	#6E5D49	1	32766	32766	27.375661849975582	15.874659538269045	3511.392822265625	22.029157638549805	5.5925302486740485	6.2215224165
Pohnpei	3	15501.515032708	1	9567.4080188492	6.823821588114837	158.17854966529708	7	1900	#F0E4F4	1	2730.8533	3276.874605	27.36903849515048	17.718072193319145	3422.8797324440693	21.826867086237133	0.61719180342451	6.823821588114837
Pollap	NA	3.35335955	1	22.6077311342	7.5935135204	149.40567021233332	9	2300	#E2F7C3	1	32766	32766	27.361722946166992	20.49201202392578	3164.808837890625	20.166358947753903	6.741815423341646	7.5935135204
Pukapuka	2	52.171160806799996	1	193.4734193987	-11.04875837752	-165.7607258592	3	750	#E93FED	1	10922.0373	8191.7371	27.28642578125	33.19308319091797	2867.576318359375	20.702892303466797	3.7084361629439275	11.04875837752
Puluwat	NA	36.9606060455	1	127.305359788	7.249610995033334	149.210052734	9	2300	#CCF4A5	1	16383	10922.0097	27.382904688517257	17.128940105438232	3300.292724609375	21.140608151753742	3.4443526069697548	7.249610995033334
Raivavae	2	255.1287359842	1	765.9564631095	-23.873739717363637	-147.62983869818183	3	670	#C3EFD2	1	14043.076328542857	16383.36921665	22.712799072265625	201.05323791503903	1531.6812744140625	25.41375732421875	3.002235166315939	23.873739717363637
Rakahanga-Manihiki	2	35.5354181894	1	137.4380023892	-10.39652929615	-161.0094220913	2	550	#CBD9C0	1	32766	32766	27.285639762878414	28.07112693786621	2701.6436767578125	24.044196128845215	3.867634303799946	10.39652929615
Rapa Iti	NA	694.1178215296	1	1102.8206637104	-27.67569397223077	-144.1381741986154	4	850	#E8C7D4	1	3641.3967555444447	4681.509428542857	20.581056741567757	233.09999319223255	1409.716299203726	25.86645801250751	1.5888090314122143	27.67569397223077
Rapa Nui	2	1185.9541474549999	1	514.3365686746	-27.1194612948	-109.35894608	3	750	#A3D3F0	1	0.97439995	0.8671	20.963329315185547	174.8053436279297	1050.572509765625	48.58991622924805	0.43369009651708823	27.1194612948
Ratak + Rālik	3	11398.4333397217	1	84433.074057625	8.469039300350666	169.71580133153086	8	2000	#68F7A7	1	4497.52868627451	5881.298635897436	27.188568931137592	33.07045829799719	2789.3303593371597	34.438989985103795	7.40742798077253	8.469039300350666
Rimatara	2	13.996562922899999	1	94.238217846	-21.810277456725	-154.70905715825	3	670	#F0E89A	1	6553.60422	8191.820375	23.639610290527344	180.515380859375	1509.385009765625	30.12053108215332	6.732954252062508	21.810277456725
Rotuma	3	193.3789819628	1	227.0477369912	-12.486555054085715	177.03193449657144	5	1300	#BCEE33	1	16383	16383	27.062312262398855	64.06516865321568	2916.028424944197	18.660390036446707	1.1741076237275714	12.486555054085715
Rurutu	2	692.9662027616	1	651.3512515791999	-22.596920319166667	-152.317964386	3	670	#DDF6E9	1	3642.1285444111113	4682.339885671428	23.249017079671223	190.1643218994141	1497.19580078125	27.95839500427246	0.9399466366230319	22.596920319166667
Rēkohou	2	43248.755426624	1	17009.0703910468	-44.13660205145	-176.27489921469999	2	450	#D593E9	1	1311.61356398	1725.457047363158	12.660635248819988	239.10127665201824	1083.6268513997395	16.94582029978434	0.39328462110093443	44.13660205145
Santo	1	322384.327341736	23.432098765432098	44449.80554523851	-15.245899328260265	166.9587023450041	11	3200	#6E65E0	24	1425.815904323913	1873.5528914085714	26.08374657301691	129.62477716028172	2147.4678147415834	45.1189377308982	0.13787830789342476	15.245899328260265
Satawal	NA	3.170760585	1	10.851006601	7.3578819783	147.036384629	7	1900	#5596E0	1	32766	32766	27.3918514251709	17.040218353271484	3259.6650390625	21.003604888916016	3.4222093753571747	7.3578819783
Sikaiana	NA	7.1359638536	1	29.6994455132	-8.373108312875	162.86978314325	2	500	#77C94B	1	32766	32766	27.348987579345703	35.757469177246094	3499.7099609375	16.9277286529541	4.161938894662004	8.373108312875
Sonsorol	NA	4.1131236894	1	18.1417935302	4.83895433915	132.26824050599998	3	600	#92B134	1	32766	32766	27.50423812866211	12.66972017288208	2801.033935546875	25.27578067779541	4.410709451056267	4.83895433915
Sāmoa	3	314338.7716161468	1	66954.7136205108	-14.093097805342857	-171.06638438589286	10	2800	#81818E	1	1131.0606551551725	1490.5982817909091	26.71945959946205	76.04652681021855	2527.126852101293	25.3300289285594	0.2130017664581072	14.093097805342857
Tahiti	3	188855.71435216352	1	108917.732087747	-16.86129133815778	-151.15361443715767	4	960	#E4A9C3	1	2657.5818878283785	3449.889342091228	25.977359656375754	102.7882165213337	2066.547449604415	28.57045503380879	0.5767245776034378	16.86129133815778
Takuu	NA	3.4643994816	1	29.7616561824	-4.743856257877778	157.02116322877777	2	500	#51C2A2	1	32766	32766	27.487055672539604	25.79984410603841	3169.3337673611113	21.51039759318034	8.590711417799561	4.743856257877778
Tamambo	NA	5630.289991722	1	2088.498726957	-15.6984041364	167.214675542	11	3200	#398FB8	1	1928.3095646882352	2521.3707538307694	25.873334884643555	139.0155487060547	2061.148193359375	47.22614288330078	0.3709398148279467	15.6984041364
Tanna	1	3954.9805866760003	5	892.297551838	-19.4944553812	169.326338052	11	3200	#AD34E9	5	1.870299975	1.9066999333333334	24.629594802856445	192.23141479492188	1498.1883544921875	53.517234802246094	0.22561363634604834	19.4944553812
Te Anu	NA	159.4445749344	1	148.7568103861	-11.6317490135	166.962302531	11	3185	#689C8E	1	1.16552495	1.1986333	27.068683624267575	69.74304962158203	2933.34033203125	22.227380752563477	0.9329687789459299	11.6317490135
Te Fenua ’Enata	NA	19697.7073341243	1	10592.108770666799	-9.897021596770589	-138.91863985694118	4	950	#66ED3E	1	2979.8943817863637	3855.879205870588	26.590394973754883	52.64452788409065	1707.6313332950367	72.0886760038488	0.537733076799097	9.897021596770589
Te Henua ‘Enana	1	41273.0590758943	1	23807.6254893905	-8.807346624304651	-140.0758092156744	4	950	#BED5A9	1	1725.3971394473683	2260.6292137793102	26.563662107600724	46.97907106266465	1851.2047516578853	81.96934864132903	0.576832103615393	8.807346624304651
Tikopia	2	12.3570878942	1	21.2300376124	-12.2779928824	168.814058868	11	3000	#58D77E	1	32766	32766	27.00346565246582	73.93331146240234	2862.767578125	23.241792678833008	1.7180453674983298	12.2779928824
Tobi	NA	5.95	1	0	3.007434	131.12438	2	500	#32B079	1	0.5065	0.35846666666666666	27.557466506958008	10.524081230163574	2407.669189453125	22.6286678314209	0	3.007434
Tokelau	2	59.8697997444	1	499.3003550824	-9.169440816054545	-171.65562932187274	3	750	#8297BF	1	32765.5	32765.5	27.414167646928263	20.678506989912552	3431.0249378551134	14.08781446977095	8.339769920962576	9.169440816054545
Tonga	3	130061.528017112	1	159353.625529837	-19.662176822470304	-174.4786564847212	10	2846	#E2662C	1	304.6218314546296	400.89091948170733	24.58055418765906	171.34443377870502	1573.3233916311551	38.87642588759913	1.2252172334071847	19.662176822470304
Tongoa	NA	817.3047632272	1	873.378328096	-16.9790959289	168.58512938175	11	3200	#8EDCA0	1	3642.087933288889	4682.1266857142855	25.529462575912476	156.81866264343262	1868.3816375732424	49.35669994354248	1.0686079017175778	16.9790959289
Tuamotu	2	446226.5485520846	1	2107630.9471305637	-16.9386798059895	-142.8127558501914	4	1100	#8ADAE7	1	1604.8257743851225	2119.6149027328356	25.88261531778834	99.8883232134526	2029.4055145344826	26.595926194225594	4.72323073104772	16.9386798059895
Tungaru + Tuvalu	2	33556.5144897431	1	114346.0707060255	-0.7556833191401894	174.46323451751383	8	2150	#58DCF2	2	6950.586515151515	8994.704837254902	27.167932803295557	18.745370441763903	1902.335466361641	28.71216855870237	3.407566979013168	0.7556833191401894
Tupuai	2	420.6594646287	1	308.4165296046	-23.34823217663333	-149.43173402983334	3	670	#F053B8	1	6554.53783996	8192.799224975	22.956344604492188	196.308349609375	1523.49365234375	26.253236770629883	0.7331738746846632	23.34823217663333
Tutuba	NA	93.9632687833	1	114.18391107340001	-15.5784165274	167.267181488	11	3200	#EC9D3F	1	1.53429995	1.5492999666666667	25.873334884643555	139.0155487060547	2061.148193359375	47.22614288330078	1.21519730584015	15.5784165274
Ulithi (greater)	2	322.3593046922	1	2162.881602298	9.876322897890049	139.76165880122295	8	2000	#EAC860	1	6898.156105263158	6898.144589473684	27.300292406584088	30.01994966205798	2758.384598581414	21.521218209517627	6.709536752361454	9.876322897890049
Ureparapara	1	270.75543346250004	2	230.5022302548	-13.534491582	167.32481148	11	3200	#6941E2	2	1.30989995	1.2405332666666666	26.615989685058594	101.4262924194336	2458.13232421875	35.469390869140625	0.8513300261681539	13.534491582
Utupua	NA	656.8223898240001	3	821.2235940648001	-11.2485177338	166.4549908235	11	3185	#EDF37E	3	6554.13181996	8192.37432495	27.148595809936523	63.10594177246094	3030.195068359375	20.17656517028809	1.250297807729807	11.2485177338
Uvea (Wallis)	2	759.5439953679	1	718.6306001328	-13.293464407893334	-176.1832627114	9	2300	#EBB8F3	1	6554.27617996	8192.498774975	26.940418243408203	69.88013458251953	2736.8828125	22.0856876373291	0.9461342654479379	13.293464407893334
Vanikoro	NA	2676.0370408982	2	1215.5708398694	-11.6566360944	166.897274343	11	3185	#B1D67F	2	1.1607750000000001	1.0639999666666666	27.068683624267575	69.74304962158203	2933.34033203125	22.227380752563477	0.4542429051958859	11.6566360944
Vanua Lava	1	2976.8373681993	3	991.2936420882	-13.859835542419999	167.5525986988	11	3200	#DF4653	3	6554.36731998	8192.541449975	26.621257019042968	100.63348236083984	2470.33544921875	34.825677490234376	0.3330022837921567	13.859835542419999
Vanua Levu	NA	1144045.5074465622	1	272772.387646964	-16.54727241211697	167.95448303914097	11	3130	#B15EEB	1	624.9973552190476	841.0684807538462	25.818939157425422	131.4038743217689	2086.233038712568	38.55428578545639	0.23842791730879206	16.54727241211697
Vao	NA	8.6932699126	1	33.495475895000006	-15.9080538089	167.297375901	11	3200	#E670E8	1	0.185375	0.3253333333333333	25.873334884643555	139.0155487060547	2061.148193359375	47.22614288330078	3.8530353056738478	15.9080538089
Viti Levu + Yasawa	3	635459.4063252318	2.4745762711864407	79374.46164097151	-17.59866910250521	177.73612564516208	11	3130	#DF7AC8	4	1468.2752447477612	1928.5402078176471	25.309391876192837	151.32010577059424	1895.068127009979	43.984710784920296	0.12490878386706453	17.59866910250521
Woleai	2	27.2717676334	1	197.0795362338	7.5075531457052245	145.4368689365256	7	1900	#EA7380	1	32765.333333333332	32765.333333333332	27.39336127198477	17.723233606623506	3195.410697083986	20.808012172097072	7.226503939276557	7.5075531457052245
Yap	3	207.6533532336	1	253.3213508754	9.52005967048	138.13191170800002	9	2400	#5D8134	1	32766	32766	27.32510299682617	27.865321350097656	2866.2205078125	19.335857391357425	1.2199242002628568	9.52005967048
NA	NA	0	NA	0	NA	NA	4	1000	NA	NA	32766	32766	24.5358304977417	194.16951751708984	1476.3529052734375	52.16761589050293	NA	NA
